closeness,gid
0.04758063888902873,3804
0.03097006430606285,3772
0.030586490064978662,4310
0.029557638674351298,5558
0.024918628100137914,5715
0.04296049885400804,6129
0.02936063269904957,7326
0.03155651445553861,7273
0.026393373436034012,7961
0.03678291009407938,29672
0.02998453201785809,9111
0.03703677983717706,9718
0.044483795494304805,9783
0.028907015996836913,9784
0.044933878070193625,10836
0.044711605843119014,10890
0.04589748223624011,11849
0.023813563610493457,12518
0.045343564701778874,13323
0.04538484163745017,13648
0.03522029447552749,13802
0.046651174589105185,14398
0.0339833243174049,15969
0.04230778383895542,15962
0.02510456413045393,15711
0.0471561444229471,16475
0.04531743446674123,17076
0.03655739695867061,17079
0.04799720139394948,18087
0.024959614623550203,18090
0.04485921969112698,18192
0.030917552697333532,20325
0.04198907920573621,26145
0.0431818549845355,26150
0.03356912415250066,27891
0.03655739695867061,27886
0.03077444330437625,28747
0.04402947604076791,28560
0.02822563354334289,28564
0.026682683118251248,28629
0.029678133507939682,28536
0.04252146567403575,28640
0.04869416529187589,28549
0.04242212379020466,28634
0.028990246036594336,28649
0.03905998392907008,28745
0.028547872655077043,29670
0.03226172698265374,29669
0.04446098431061638,29679
0.04689125624606186,29675
0.04065775649326851,29680
0.04480941135513572,29678
0.03758389746823664,29677
0.041990113347062194,29676
0.04227424890549329,29673
0.04446128843256218,29674
0.033408797596494,29671
0.047479803963194026,29681
0.0418750436617793,29716
0.03361438514683748,32356
0.04268324089743977,32285
0.03885278195258393,33013
0.04121679917471285,34557
0.03862363201780254,35600
0.04255331336873715,35867
0.040636143192391026,35776
0.04104729813067053,35613
0.03251269519145051,35814
0.037362522085202354,35727
0.04412729366459354,35856
0.044488800158448576,35777
0.043083868757421866,35800
0.030656721508298915,35603
0.03170923122798267,35861
0.035968784628601556,35601
0.036654811419806525,35833
0.030075253199652673,39810
0.024915828223092965,39800
0.035981396925839404,39733
0.037381806993417206,39812
0.0432061003690175,39811
0.02850701759170797,39799
0.04543799275919372,39729
0.024183451008688267,39744
0.032503265562461976,39731
0.034058038171856216,39753
0.03885842176893626,39742
0.045352007894737985,39749
0.04604859853968384,39730
0.03684664955895623,39870
0.040192234821586084,39750
0.03219280020405281,39737
0.02967740517890694,39767
0.03900720658141591,39739
0.0473000107789448,39728
0.025712111133677874,39743
0.028918819867451713,39745
0.049876950206737554,39740
0.045840018336007336,39752
0.04142987237209126,39751
0.029960363015890813,39894
0.03377739785422586,39732
0.04047268988501866,39910
0.0353811476657713,39734
0.024811285126755837,39765
0.04532054480524151,39736
0.03150440183137514,39735
0.04767897380177925,39738
0.03431300254939011,39766
0.03204098288179679,39746
0.030445111927501996,39741
0.0388983901115804,39747
0.043617236105760904,39748
0.044292223052228206,39764
0.03601859459946199,39754
0.03171778490919641,42481
0.035081079458307664,42483
0.02825304239762927,42480
0.04630591244130783,42482
0.029293984001541314,43247
0.030374834216199326,43965
0.03223610716769845,43963
0.025618546250959773,43964
0.03837874880112537,43962
0.04319006827768385,43791
0.04651392656032423,43790
0.0439367125453256,44114
0.04579911977614799,44135
0.04137010631918429,44387
0.04047343016601502,44795
0.049281730622743394,44770
0.03799330331497052,44720
0.04444294402026598,44486
0.046007184641209224,44692
0.042035521632530326,44842
0.04268491392012503,44915
0.035467795497465676,44974
0.03081351379978771,44971
0.04473851413930627,45144
0.04114002978300812,44914
0.03182970617508541,45004
0.041390308419485204,44951
0.03110441767969119,44811
0.04168489545808992,44837
0.04172849873901691,44843
0.03728266046197161,44812
0.04585669342375333,44910
0.04205909181075106,44836
0.042414096161728206,45262
0.03269652142022998,45274
0.03531637015630889,45273
0.03695358877975342,45265
0.043502440005847715,45275
0.04451053498025164,45281
0.02581358077305221,45267
0.044528973375955565,45586
0.029378369243446254,45877
0.029648897189313066,45715
0.041852411896145636,45917
0.02713037698310991,45913
0.027904001648482574,45727
0.043776423701902746,45748
0.03043287101217828,45723
0.03401914623718804,45993
0.04457129167388985,45957
0.04287720915543852,46176
0.039996954078112525,46036
0.041590267877316706,46074
0.04462011230109996,46256
0.04042850326100585,46172
0.03333758066933207,46066
0.036135904356600225,46189
0.042552120722003095,46155
0.04664776385646034,46270
0.04460121581198872,46243
0.04201022989492391,46708
0.04218569779099053,46710
0.04201286886490926,46709
0.029797061952389445,46715
0.04107721845615225,46758
0.016592248835232106,46724
0.04376396159796531,47819
0.033441847842164765,48331
0.041267155629554256,48254
0.03932747001091339,48330
0.03757438554137645,48061
0.043463188664298893,48187
0.04175339361747186,48510
0.03952777234587641,50973
0.03116390596411234,50917
0.03253206950414088,50974
0.037069723873329935,50976
0.03058637762147682,50918
0.04764692892635891,50972
0.03619382909134697,49994
0.042564729596300165,50547
0.026966684864857354,50978
0.04176986131803593,50383
0.044269428852004314,50274
0.03480217473435733,50952
0.04033440322923434,203
0.04772184405464977,267
0.03650973273997997,781
0.042081334722826644,927
0.030294569538198618,1992
0.027601142262656697,2171
0.04297634317601788,835
0.02626134966923957,902
0.04769995626739587,1988
