index;gid;co_cnes;lat;long;no_fantasia;no_logradouro;nu_endereco;no_bairro;nu_telefone;co_cep;uf;cidade;ano_ubs_det;mes_ubs_det
33075;44420;4050347;-23.567386499999998;-46.57038318211271;UBS CARLOS GENTILE DE MELO;AVN DOS TEXTEIS;3765;CIDADE TIRADENTES;(11)29648081;8490600.0;SP;São Paulo;2016;5
33077;44421;4050398;-23.567386499999998;-46.57038318211271;UBS PASTORAL;RUA BOLEADEIRAS;127;PQ STA MADALENA;2702-5889;3980120.0;SP;São Paulo;2016;5
33085;44416;4050177;-23.5809838771813;-46.40434026718;AMA UBS INTEGRADA CASTRO ALVES;RUA CADERNO DE VIAGEM;55;CASTRO ALVES;(11)22820320;8474170.0;SP;São Paulo;2016;5
33093;44412;4050088;-23.548000000000002;-46.636;AMA UBS INTEGRADA JD BRASILIA;AV OSVALDO DO VALLE CORDEIRO;245;JD BRASILIA;(11)27416938;3584000.0;SP;São Paulo;2016;5
33096;44402;4049969;-23.548000000000002;-46.636;UBS PREFEITO PRESTES MAIA;RUA INACIO PINTO LIMA;35;CIDADE TIRADENTES;(11)2555-5587;8490020.0;SP;São Paulo;2016;5
33120;44522;5079454;-23.567386499999998;-46.57038318211271;UBS J CELESTE;RUA JOAO FERNANDES CAMISA NOVA JUNIOR;865;J CELESTE;11 - 58123738;5844000.0;SP;São Paulo;2016;5
33157;45028;5695813;-23.567386499999998;-46.57038318211271;UBS J MARACA;R FERES BECHARA;506;JARDIM MARACA;;5867390.0;SP;São Paulo;2016;5
33251;44973;5621267;-23.567386499999998;-46.57038318211271;UBS J FLOR DE MAIO;AV NOVA PAULISTA;561;J FLOR DE MAIO;(11)35984199;2363000.0;SP;São Paulo;2016;5
33282;44972;5620341;-23.567386499999998;-46.57038318211271;UBS J MAGDALENA;RUA VITORINO PALHARES;221;J MAGDALENA;;5890320.0;SP;São Paulo;2016;5
33310;45071;5743583;-23.567386499999998;-46.57038318211271;UBS CIDADE IPAVA;AV TAQUANDAVA;31;CIDADE IPAVA;(11)5898-5300;4950000.0;SP;São Paulo;2016;5
33519;44846;5479517;-23.567386499999998;-46.57038318211271;UBS V CARIOCA;RUA ANTONIO FREDERICO;117;VILA INDEPENDENCIA;2273 9707;4224030.0;SP;São Paulo;2016;5
33533;45436;6269567;-23.567386499999998;-46.57038318211271;UBS ATUALPA GIRAO RABELO;RUA ILHA DO ARVOREDO;10;VL MORGADOURO;29632634;8140270.0;SP;São Paulo;2016;5
33558;45258;6018939;-23.567386499999998;-46.57038318211271;UBS COLONIA;RUA NOSSA SENHORA APARECIDA;342;COLONIA PAULISTA;(011) 5977-3269;4892230.0;SP;São Paulo;2016;5
33574;45217;5975220;-23.5497347;-46.6289618;UBS SE;RUA FREDERICO ALVARENGA;259;PARQUE DOM PEDRO;(11) 31013013;1020030.0;SP;São Paulo;2016;5
33599;45310;6090621;-23.547415100000002;-46.638254100000005;UBS REPUBLICA;RUA LIBERO BADARO;282;CENTRO;31010997;1008000.0;SP;São Paulo;2016;5
33641;45441;6280188;-23.7798428535455;-46.6741061210619;UBS CHACARA DO SOL;RUA JOAO CARLOS DE OLIVEIRA;3;CHACARA DO SOL;1159314151;4855515.0;SP;São Paulo;2016;5
33642;45515;6332420;-23.567386499999998;-46.57038318211271;UBS BARRAGEM;RUA TRES;02;BARRAGEM;5977-3212/ 5977-2182;4877110.0;SP;São Paulo;2016;5
